Name,Sequence,C4,C6,C8,C10,C12,C14,C16,Total
ACR-01,13113322,15.20129306,0.004755956,0.135630404,0.200835603,0.121351275,0.520014512,0.258478599,1.241066349
ACR-02,31333312,0.143780687,0.015210376,0.130470199,0.166112881,0.100056842,0.398078394,3.03E-05,0.809958992
ACR-03,33332321,6.787337739,0.00214812,0.190875192,0.242244257,0.142441762,0.355519219,0,0.93322855
ACR-04,13321132,7.240816081,0.005786765,0.147307593,0.14937906,0.071562913,0.221469516,2.55E-05,0.595531347
ACR-05,12313331,14.74982776,0.018413464,0.233103715,0.177387217,0.142351357,0.346683631,3.43E-05,0.917973684
ACR-06,31132332,17.23891379,0.017903277,0.179910729,0.175431007,0.074550079,0.418703765,6.14E-05,0.866560257
ACR-07,11311323,9.893846525,0.064912138,0.205601223,0.169375117,0.064266735,0.254343943,2.81E-05,0.758527256
ACR-08,13312313,4.356741908,0.020178619,0.225748222,0.179715405,0.088800222,0.275539829,5.36E-05,0.790035897
ACR-09,32131312,20.31439134,0.041081686,0.21711698,0.150720517,0.065137021,0.430468768,0.068664725,0.973189697
ACR-10,33211331,0.516273307,0.000861038,0.138177539,0.219786947,0.094187576,0.950297889,1.33848353,2.741794519
ACR-11,13231331,22.68374234,0.000109169,0.136425405,0.144012962,0.056361326,0.381467303,0,0.718376165
ACR-12,21123311,19.50972666,0.006750499,0.238282859,0.216507014,0.077560853,0.369113937,2.85E-05,0.908243662
ACR-13,23311132,11.09030162,0.032060061,0.157459043,0.180758528,0.115751745,0.311270134,0.000121103,0.797420614
ACR-14,32233123,23.28730657,3.62E-05,0.310197422,0.202882127,0.088661107,0.443396347,5.17E-05,1.05E+00
ACR-15,32121333,5.84752304,0.000893659,0.18254938,0.152146329,0.098783339,0.269931915,0,0.704304622
ACR-16,22132133,1.691276188,0.000890979,0.127518142,0.167658307,0.080787288,0.314334351,8.96E-05,0.691278667
ACR-17,22331321,1.998243324,0.016418019,0.194063027,0.159307718,0.044925561,0.308756641,5.50E-05,0.723525966
ACR-18,33123121,8.261610571,0.007399917,0.20472669,0.281442626,0.121691062,0.656767639,0.80859777,2.080625704
ACR-19,32312111,10.345853,0.019907942,0.208166207,0.178736519,0.123844294,0.297697049,0.000144851,0.828496862
ACR-20,23213313,17.28049886,0.015010678,0.252959767,0.242490262,0.109266187,0.623004155,1.126418852,2.369149901
ACR-21,11233113,3.257708326,0.00096041,0.166900512,0.20893688,0.077351994,0.309827141,0.008327798,0.772304735
ACR-22,21223131,3.452361942,0.01042337,0.218876902,0.192323651,0.129419205,0.418690104,0,0.969733232
ACR-23,13222113,11.96265414,0.014106179,0.221950888,0.234223136,0.118267181,0.525822947,0.645053824,1.759424155
ACR-24,31213123,2.85690388,0.000291808,0.176746739,0.222463395,0.075659948,0.342075634,6.69E-05,0.817304424
ACR-25,23233112,24.67788356,0.002612182,0.197991512,0.214415719,0.08740163,0.952998324,2.448966561,3.904385928
ACR-26,31112322,0.000297349,0.007565979,0.175377261,0.152499192,0.148220586,0.494309959,2.599085297,3.577058274
ACR-27,33233311,3.82E-05,0.017152733,0.252824333,0.219433827,0.183052156,0.510854372,3.003821824,4.187139245
ACR-28,32111311,0.001011632,0.02934305,0.249512732,0.168805218,0.184841499,0.204716286,1.839518768,2.676737553
ACR-29,32331332,0.000148504,0.008734442,0.174528096,0.136661344,0.137899221,0.019375533,0.050160577,0.527359211
ACR-30,31131131,8.79E-05,0.013572413,0.200081167,0.125617834,0.145068939,0.018611843,0.065585534,0.568537731
ACR-31,32333132,5.30E-05,0.014399219,0.196681531,0.134780554,0.12327753,0.013352346,0.127812182,0.610303362
ACR-32,32313131,0.000294833,0.025110165,0.266102465,0.173438295,0.16789199,0.015593462,0.062653845,0.710790221
MA-ACR,11111111,20.5406349,0.022243863,0.309361784,0.138277344,0.046843216,1.495157582,8.329498066,10.34138186
MAB-ACR,22222222,22.16744833,0.053772827,0.381429043,0.145357782,0.079933378,4.763268718,34.61194885,40.0357106
MAT-ACR,33333333,26.66580558,0.020584392,0.318433086,0.099630156,0.002488987,0.424485156,7.483722387,8.349344164
